TUERCA ESTRUCTURAL - ASTM A325,,,,
 , , A1585, A1586, 
CÓD. 06,ROSCA "3/8"" - UNC",PAVONADA $7.63,HDG ,SW "21/32"""
 08, "1/2"" - UNC",20 CTO $15.84, , "7/8"""
 10, "5/8"" - UNC",10 CTO $28.64, , "1 1/16"""
 12, "3/4"" - UNC",5 CTO $51.61, , "1 1/4"""
 14, "7/8"" - UNC",2.5 CTO $79.01, , "1 7/16"""
 16, "1"" - UNC",2 CTO $113.20, , "1 5/8"""
 20, "1 1/8"" - UNC",1.4 CTO $163.16, , "1 13/16"""
 22, "1 1/4"" - UNC",1 CTO $209.38, , "1 15/16"""
 24, "1 3/8"" - UNC",0.7 CTO $251.60, , "2 1/8"""
 26, "1 1/2"" - UNC",0.6 CTO $330.78, , "1 3/8"""
 27, "1 5/8"" - UNC",0.4 CTO $400.56, , "2 9/16"""
 28, "1 3/4"" - UNC",0.35 CTO $543.08, , "2 11/16"""
 29, "1 7/8"" - UNC",0.3 CTO $639.27, , "2 15/16"""
 30, "2"" - UNC",0.25 CTO $794.68, , "3 1/8"""
 PRECIO DE VENTA POR CIENTO (INCLUYE IGV), ,0.15 CTO , , 
