BARRA ROSCADA ESTRUCTURAL UNC - ASTM 193 B7,,,,,
 , , E2895, E2898, E2896, E2897
CÓD. 06,ROSCA "3/8""",1.00 M $3.00,1.80 M ,3.00 M ,3.66 M 
 08, "1/2""",MTS $4.61, $9.30, $14.87, $17.45
 10, "5/8""",20 MTS $7.21,10 PZA $14.66,10 PZA $21.63,10 PZA $26.43
 12, "3/4""",10 MTS $10.73,10 PZA $18.70,10 PZA $32.18,10 PZA $38.31
 14, "7/8""",10 MTS $14.61,5 PZA ,5 PZA $43.83,5 PZA $53.03
 16, "1""",5 MTS $19.25, $33.43,5 PZA $59.68,5 PZA $70.10
 18, "1 1/8""",5 MTS $29.04,5 PZA $44.79,2 PZA $76.62,2 PZA $92.96
 20, "1 1/4""",5 MTS $36.39,2 PZA ,1 PZA $96.51,1 PZA $117.09
 22, "1 3/8""",5 MTS , $62.98,1 PZA $132.18,1 PZA $160.39
 24, "1 1/2""", $53.73,1 PZA $77.22,1 PZA $156.48,1 PZA $189.86
 26, "1 5/8""",3 MTS ,1 PZA $92.95,1 PZA $291.11,1 PZA 
 28, "1 3/4""", ,1 PZA $104.87,1 PZA $7.80, 
 30, "1 7/8""", ,1 PZA $121.19,1 PZA $11.81, 
 32, "2""", ,1 PZA $170.06,1 PZA $17.13, $353.22
 PRECIO DE VENTA POR CIENTO (INCLUYE IGV), , ,1 PZA ,1 PZA ,1 PZA 
