CABLE THW-90 (7 HILOS) - ROLLO DE 100 M.,,,,,
 , , FCTHW014, FCTHW012, FCTHW010, FCTHW008
CÓD. NE,COLOR NEGRO,#14 AWG $60.50,#12 AWG $90.87,#10 AWG $152.40,#08 AWG $245.20
 BL, BLANCO,RLL $60.50,RLL $90.87,RLL $152.40,RLL $245.20
 AM, AMARILLO,RLL $60.50,RLL $90.87,RLL $152.40,RLL $245.20
 AZ, AZUL,RLL $60.50,RLL $90.87,RLL $152.40,RLL $245.20
 RO, ROJO,RLL $60.50,RLL $90.87,RLL $152.40,RLL $245.20
 VE, VERDE,RLL $60.50,RLL $90.87,RLL ,RLL 
 CABLE THW-90 (7 HILOS) TIERRA - ROLLO DE 100 M., ,RLL ,RLL , , 
 , COLOR,FCPT0014 #14 AWG,FCPT0012 #12 AWG,FCPT0010 #10 AWG,FCPT0008 #08 AWG
 VERDE","AMARILLO/ $63.17, $94.82, , 
 PRECIO DE VENTA POR ROLLO (INCLUYE IGV), ,RLL ,RLL , , 
