PERNO HEXAGONAL MÉTRICO RC - CL. 8.8 PAVONADO,,,,,,
,,M2406,M2408,M2410,M2412,M2414
CÓD.,LARGO,Ø M6,Ø M8,Ø M10,Ø M12,Ø M14
18,90,$13.40,$21.78,$35.53,$48.49,$74.10
,,7 CTO,5 CTO,3.5 CTO,2.8 CTO,1.9 CTO
20,100,$14.38,$24.11,$39.24,$53.97,$80.56
,,9 CTO,4.5 CTO,3.75 CTO,2.3 CTO,1.6 CTO
22,110,,$26.83,$42.30,$58.20,$92.05
,,,5.57 CTO,3.3 CTO,2.2 CTO,1.5 CTO
24,120,,$28.32,$45.57,$63.14,$93.60
,,,5.12 CTO,2.2 CTO,1.9 CTO,1.2 CTO
26,130,,$32.89,$50.85,$70.09,$100.47
,,,4.5 CTO,2 CTO,2 CTO,1.45 CTO
28,140,,$33.71,$55.17,$74.99,
,,,3 CTO,CTO,1.45 CTO,
30,150,,$35.14,$60.25,$79.53,$120.91
,,,4 CTO,1.9 CTO,1.8 CTO,1 CTO
32,160,,,$63.97,$92.83,
,,,,2 CTO,1.2 CTO,
36,180,,,$71.35,$99.05,$137.54
,,,,1.75 CTO,1.15 CTO,1.1 CTO
40,200,,,$79.05,$112.78,$156.11
,,,,2 CTO,0.8 CTO,0.9 CTO
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,
