TUERCA HEXAGONAL PULGADA UNC - GR. 8 PAVONADA,,,,,,,,
,,04,05,06,07,08,09,10
CÓD.,,"Ø 1/4""","Ø 5/16""","Ø 3/8""","Ø 7/16""","Ø 1/2""","Ø 9/16""","Ø 5/8"""
E0800,,,$2.62,$3.96,$6.99,$9.13,$14.84,$18.27
,,,50 CTO,36 CTO,20 CTO,15 CTO,9.5 CTO,8 CTO
ARANDELA PLANA ESTÁNDAR PULGADA TROPICALIZADA,,,,,,,,
,,04,05,06,07,08,09,10
CÓD.,,"Ø 1/4""","Ø 5/16""","Ø 3/8""","Ø 7/16""","Ø 1/2""","Ø 9/16""","Ø 5/8"""
E1101,,$3.43,$3.73,$4.37,$5.45,$8.52,$9.24,$12.98
,,0 CTO,0 CTO,0 CTO,0 CTO,0 CTO,0 CTO,0 CTO
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,,,
