TUERCAS Y ARANDELAS MÉTRICAS,,,,,,,,,
,,"HEXAGONAL
CL. 5.8
RC
TROP.","HEXAGONAL
CL. 8.8
RC
PAV.","SEGURO
NYLON
RC","TUERCA
MARIPOSA","ARANDELA
PRESIÓN","ARANDELA
PLANA","DIMENSIONES
ARANDELA
PLANA
(MM.)",
CÓD.,Ø,M0203,M0500,M0100,M0900,M1409,M1209,Ø EXT.,ESPESOR
05,Ø M5,$0.51,,,,$0.25,,,
,,180 CTO,,,,541.4 CTO,,,
06,Ø M6,$1.10,$1.05,$1.43,$5.03,$0.52,$0.55,11.80,1.50
,,120 CTO,119 CTO,122 CTO,50 CTO,235 CTO,CTO,,
08,Ø M8,$2.50,$2.86,$3.06,$5.72,$0.98,$0.96,15.80,1.80
,,54 CTO,54 CTO,50 CTO,30 CTO,132.4 CTO,CTO,,
10,Ø M10,$5.35,$5.16,$7.27,$9.00,$1.44,$1.70,19.80,2.00
,,21 CTO,24 CTO,24 CTO,20 CTO,85 CTO,CTO,,
12,Ø M12,$8.54,$7.71,$10.05,,$2.31,$3.14,23.70,2.40
,,14 CTO,16 CTO,16 CTO,,52.6 CTO,CTO,,
14,Ø M14,,$10.94,$15.72,,$3.56,$4.99,27.80,2.70
,,,11 CTO,10 CTO,,35 CTO,CTO,,
16,Ø M16,,$14.74,$20.91,,$5.23,$6.04,29.80,2.80
,,,8 CTO,8 CTO,,23.2 CTO,CTO,,
18,Ø M18,,$20.72,$33.48,,,$8.24,33.80,3.00
,,,5.5 CTO,5 CTO,,,CTO,,
20,Ø M20,,$26.48,$41.18,,$8.76,$9.59,36.80,2.70
,,,4.5 CTO,4 CTO,,12 CTO,CTO,,
22,Ø M22,,$31.92,,,$9.79,$8.93,38.70,3.00
,,,3 CTO,,,8.5 CTO,CTO,,
24,Ø M24,,$43.94,$75.40,,$15.32,$16.47,43.60,4.00
,,,2.5 CTO,2 CTO,,9.8 CTO,CTO,,
27,Ø M27,,$72.22,,,,$22.09,49.50,4.00
,,,1.8 CTO,,,,CTO,,
30,Ø M30,,$103.07,,,$25.52,$28.30,55.00,3.80
,,,1.2 CTO,,,4.8 CTO,CTO,,
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,,,,
