TUERCAS CON SEGURO PULGADAS,,,,,,
NYLON PULGADA,,,,PRISIONERA PULGADA,,
,,E0100,E0102,,,E0110
CÓD.,Ø,UNC,UNF,CÓD.,Ø,UNC
04,"Ø 1/4""",$2.38,,04,"Ø 1/4""",$3.89
,,66.5 CTO,,,,83 CTO
05,"Ø 5/16""",$3.33,,05,"Ø 5/16""",
,,50 CTO,,,,
06,"Ø 3/8""",$5.37,$5.48,06,"Ø 3/8""",$8.43
,,30 CTO,30 CTO,,,30 CTO
07,"Ø 7/16""",$6.91,$6.68,07,"Ø 7/16""",
,,17 CTO,25 CTO,,,
08,"Ø 1/2""",$12.91,$13.72,08,"Ø 1/2""",$19.84
,,12.5 CTO,12.5 CTO,,,14 CTO
09,"Ø 9/16""",$18.81,$20.28,09,"Ø 9/16""",
,,8 CTO,8 CTO,,,
10,"Ø 5/8""",$26.41,$26.86,10,"Ø 5/8""",$36.66
,,6 CTO,6 CTO,,,8 CTO
12,"Ø 3/4""",$35.31,$36.51,12,"Ø 3/4""",$65.44
,,4 CTO,4 CTO,,,4.5 CTO
14,"Ø 7/8""",$56.56,$57.96,14,"Ø 7/8""",
,,2.5 CTO,2 CTO,,,
16,"Ø 1""",$85.47,$85.55,16,"Ø 1""",$151.36
,,2 CTO,2 CTO,,,1.9 CTO
6216,"Ø 1"" - 12 H/P",,,6216,"Ø 1"" - 12 H/P",
,,,,,,
20,"Ø 1 1/8""",$135.74,,20,"Ø 1 1/8""",
,,1 CTO,,,,
22,"Ø 1 1/4""",$201.15,,22,"Ø 1 1/4""",
,,0.8 CTO,,,,
26,"Ø 1 1/2""",$352.67,,26,"Ø 1 1/2""",
,,0.5 CTO,,,,
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,
