ARANDELA PLANA PESADA,,,,,,,,,,
,,E1110,E1112,,E1111,E1113,,DIMENSIONES,,
CÓD.,Ø,"SIN ZINCAR
KG.","ZINCADO
KG.",CANT. X KG.,"SIN ZINCAR
CIENTO","ZINCADO
CIENTO",CANT.,Ø INT.,Ø EXT.,ESP.
08,"1/2""",$4.90,,64,$8.41,,,14.20,35.00,2.50
,,25 KGS,25 KGS,,0 CTO,0 CTO,,,,
10,"5/8""",$4.90,,26,$20.72,,,17.50,44.50,3.60
,,25 KGS,25 KGS,,0 CTO,0 CTO,,,,
12,"3/4""",$5.39,,22,$26.96,,,20.90,50.80,3.40
,,25 KGS,25 KGS,,0 CTO,0 CTO,,,,
14,"7/8""",$4.90,,18,$29.92,,,24.20,57.50,3.50
,,25 KGS,25 KGS,,0 CTO,0 CTO,,,,
16,"1""",$4.90,,12,$44.89,,,27.00,63.50,4.20
,,25 KGS,25 KGS,,0 CTO,0 CTO,,,,
20,"1 1/8""",$5.51,,9,$67.35,,,32.00,70.00,4.00
,,25 KGS,25 KGS,,0 CTO,0 CTO,,,,
22,"1 1/4""",$5.51,,8,$75.77,,,35.00,76.40,4.20
,,25 KGS,25 KGS,,0 CTO,0 CTO,,,,
24,"1 3/8""",$5.51,,7,$86.60,,,38.50,82.00,5.00
,,25 KGS,25 KGS,,0 CTO,0 CTO,,,,
26,"1 1/2""",$5.51,,6,$101.03,,,41.50,88.80,5.00
,,25 KGS,25 KGS,,0 CTO,0 CTO,,,,
28,"1 3/4""",$5.51,,4,$151.55,,,48.10,101.50,4.80
,,25 KGS,25 KGS,,0 CTO,0 CTO,,,,
30,"2""",$5.51,,3,$202.05,,,54.00,114.00,5.00
,,25 KGS,25 KGS,,0 CTO,0 CTO,,,,
PRECIO DE VENTA POR KG. SON APROXIMADOS (INCLUYE IGV),,,,,,,,,,
