BARRA ROSCADA ESTRUCTURAL UNC - ASTM 193 B7,,,,,
,,E2895,E2898,E2896,E2897
CÓD.,ROSCA,1.00 M,1.80 M,3.00 M,3.66 M
06,"3/8""",$3.00,,,
,,MTS,,,
08,"1/2""",$4.61,$9.30,$14.87,$17.45
,,20 MTS,10 PZA,10 PZA,10 PZA
10,"5/8""",$7.21,$14.66,$21.63,$26.43
,,10 MTS,10 PZA,10 PZA,10 PZA
12,"3/4""",$10.73,$18.70,$32.18,$38.31
,,10 MTS,5 PZA,5 PZA,5 PZA
14,"7/8""",$14.61,,$43.83,$53.03
,,5 MTS,,5 PZA,5 PZA
16,"1""",$19.25,$33.43,$59.68,$70.10
,,5 MTS,5 PZA,2 PZA,2 PZA
18,"1 1/8""",$29.04,$44.79,$76.62,$92.96
,,5 MTS,2 PZA,1 PZA,1 PZA
20,"1 1/4""",$36.39,,$96.51,$117.09
,,5 MTS,,1 PZA,1 PZA
22,"1 3/8""",,$62.98,$132.18,$160.39
,,,1 PZA,1 PZA,1 PZA
24,"1 1/2""",$53.73,$77.22,$156.48,$189.86
,,3 MTS,1 PZA,1 PZA,1 PZA
26,"1 5/8""",,$92.95,$291.11,
,,,1 PZA,1 PZA,
28,"1 3/4""",,$104.87,$7.80,
,,,1 PZA,1 PZA,
30,"1 7/8""",,$121.19,$11.81,
,,,1 PZA,1 PZA,
32,"2""",,$170.06,$17.13,$353.22
,,,1 PZA,1 PZA,1 PZA
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,
