ARANDELA PLANA PESADA,,,,,,
,,E1111,,DIMENSIONES,,
CÓD.,Ø,"SIN ZINCAR CIENTO",CANT.,Ø INT.,Ø EXT.,ESP.
08,"1/2""",$8.41,,14.20,35.00,2.50
,,0 CTO,,,,
10,"5/8""",$20.72,,17.50,44.50,3.60
,,0 CTO,,,,
12,"3/4""",$26.96,,20.90,50.80,3.40
,,0 CTO,,,,
14,"7/8""",$29.92,,24.20,57.50,3.50
,,0 CTO,,,,
16,"1""",$44.89,,27.00,63.50,4.20
,,0 CTO,,,,
20,"1 1/8""",$67.35,,32.00,70.00,4.00
,,0 CTO,,,,
22,"1 1/4""",$75.77,,35.00,76.40,4.20
,,0 CTO,,,,
24,"1 3/8""",$86.60,,38.50,82.00,5.00
,,0 CTO,,,,
26,"1 1/2""",$101.03,,41.50,88.80,5.00
,,0 CTO,,,,
28,"1 3/4""",$151.55,,48.10,101.50,4.80
,,0 CTO,,,,
30,"2""",$202.05,,54.00,114.00,5.00
,,0 CTO,,,,
PRECIO DE VENTA POR KG. SON APROXIMADOS (INCLUYE IGV),,,,,,
