ARANDELA PRESIÓN PULGADA,,,,,,,
,,E1400,E1404,,E1401,E1405,
CÓD.,Ø,"SIN ZINCAR
KG.","ZINCADO
KG.",CANT. X KG.,"SIN ZINCAR
CIENTO","ZINCADO
CIENTO",CANT.
03,"3/16""",,,"3,241",,,
,,,,,,,
04,"1/4""",$5.27,$5.62,961,$0.59,$0.64,
,,25 KGS,25 KGS,,0 CTO,0 CTO,
05,"5/16""",$5.27,$5.62,546,$1.05,$1.13,
,,25 KGS,25 KGS,,0 CTO,0 CTO,
06,"3/8""",$5.27,$5.62,355,$1.62,$1.73,
,,25 KGS,25 KGS,,0 CTO,0 CTO,
07,"7/16""",$5.27,$5.62,231,$2.48,$2.68,
,,25 KGS,25 KGS,,0 CTO,0 CTO,
08,"1/2""",$5.27,$5.62,170,$3.36,$3.63,
,,25 KGS,25 KGS,,0 CTO,0 CTO,
09,"9/16""",$5.27,$5.62,130,$4.40,$4.76,
,,25 KGS,25 KGS,,0 CTO,0 CTO,
10,"5/8""",$5.27,$5.62,94,$6.09,$6.57,
,,25 KGS,25 KGS,,0 CTO,0 CTO,
12,"3/4""",$5.27,$5.62,59,$9.70,$10.47,
,,25 KGS,25 KGS,,0 CTO,0 CTO,
14,"7/8""",$5.27,$5.62,37,$15.47,$16.70,
,,25 KGS,25 KGS,,0 CTO,0 CTO,
16,"1""",$5.27,$5.62,26,$22.02,$23.77,
,,25 KGS,25 KGS,,0 CTO,0 CTO,
20,"1 1/8""",$6.14,,,$33.62,,
,,25 KGS,,,0 CTO,,
22,"1 1/4""",$6.14,,,$42.75,,
,,25 KGS,,,0 CTO,,
24,"1 3/8""",$6.14,,,$45.80,,
,,25 KGS,,,0 CTO,,
26,"1 1/2""",$6.14,,,$71.25,,
,,25 KGS,,,0 CTO,,
28,"1 3/4""",$6.14,,,$80.16,,
,,25 KGS,,,0 CTO,,
30,"2""",$6.14,,,$91.60,,
,,25 KGS,,,0 CTO,,
PRECIO DE VENTA POR KG. SON APROXIMADOS (INCLUYE IGV),,,,,,,
