ARANDELA PRESIÓN PULGADA,,,
,,E1400,
CÓD.,Ø,"SIN ZINCAR KG.",CANT. X KG. 
03,"3/16""",,"3          
,,,
04,"1/4""",$5.27,961         
,,25 KGS,
05,"5/16""",$5.27,546         
,,25 KGS,
06,"3/8""",$5.27,355         
,,25 KGS,
07,"7/16""",$5.27,231         
,,25 KGS,
08,"1/2""",$5.27,170         
,,25 KGS,
09,"9/16""",$5.27,130         
,,25 KGS,
10,"5/8""",$5.27,94          
,,25 KGS,
12,"3/4""",$5.27,59          
,,25 KGS,
14,"7/8""",$5.27,37          
,,25 KGS,
16,"1""",$5.27,26          
,,25 KGS,
20,"1 1/8""",$6.14,
,,25 KGS,
22,"1 1/4""",$6.14,
,,25 KGS,
24,"1 3/8""",$6.14,
,,25 KGS,
26,"1 1/2""",$6.14,
,,25 KGS,
28,"1 3/4""",$6.14,
,,25 KGS,
30,"2""",$6.14,
,,25 KGS,
PRECIO DE VENTA POR KG. SON APROXIMADOS (INCLUYE IGV),,,
