ARANDELA PRESIÓN PULGADA,,,
,,E1405,
CÓD.,Ø,"ZINCADO CIENTO",CANT.
03,"3/16""",,
,,,
04,"1/4""",$0.64,
,,0 CTO,
05,"5/16""",$1.13,
,,0 CTO,
06,"3/8""",$1.73,
,,0 CTO,
07,"7/16""",$2.68,
,,0 CTO,
08,"1/2""",$3.63,
,,0 CTO,
09,"9/16""",$4.76,
,,0 CTO,
10,"5/8""",$6.57,
,,0 CTO,
12,"3/4""",$10.47,
,,0 CTO,
14,"7/8""",$16.70,
,,0 CTO,
16,"1""",$23.77,
,,0 CTO,
20,"1 1/8""",,
,,,
22,"1 1/4""",,
,,,
24,"1 3/8""",,
,,,
26,"1 1/2""",,
,,,
28,"1 3/4""",,
,,,
30,"2""",,
,,,
PRECIO DE VENTA POR KG. SON APROXIMADOS (INCLUYE IGV),,,
