ARANDELA PLANA MÉTRICA TROPICALIZADA,,,,,,
,,M1200,,DIMENSIONES,,
CÓD.,Ø,"SIN ZINCAR KG.",CANT. X KG.,Ø INT.,Ø EXT.,ESP.  
05,M5,,"1,099",6.40,12.00 
,,,,,,
06,M6,$6.04,"1,099",6.40,12.00 
,,24600 KGS,,,,
08,M8,$6.04,639,8.40,16.00,1.50  
,,14800 KGS,,,,
10,M10,$6.04,355,10.50,19.50,2.00  
,,8000 KGS,,,,
12,M12,$6.04,186,13.00,23.50,2.50  
,,4000 KGS,,,,
14,M14,$6.04,121,15.00,28.00,2.50  
,,3000 KGS,,,,
16,M16,$6.04,112,17.00,29.50,3.00  
,,2500 KGS,,,,
18,M18,$6.04,74,19.00,33.50,3.00  
,,1800 KGS,,,,
20,M20,$6.04,65,21.00,36.00,3.00  
,,1400 KGS,,,,
22,M22,$6.04,68,23.00,38.50,3.00  
,,1485 KGS,,,,
24,M24,$6.04,37,25.00,43.50,4.00  
,,900 KGS,,,,
27,M27,$6.04,28,28.00,49.50,4.00  
,,700 KGS,,,,
30,M30,$6.04,22,31.00,55.50,4.00  
,,500 KGS,,,,
PRECIO DE VENTA POR KG. SON APROXIMADOS (INCLUYE IGV),,,,,,
