ARANDELA PLANA MÉTRICA TROPICALIZADA,,,,,"ARANDELA PRESIÓN 
,,DIMENSIONES,,,M1400             
CÓD.,Ø,Ø INT.,Ø EXT.,ESP.,KG.               
05,M5,099",6.40,12.00,1.50              
,,,,,KGS               
06,M6,099",6.40,12.00,1.50              
,,,,,KGS               
08,M8,8.40,16.00,1.50,$6.08             
,,,,,KGS               
10,M10,10.50,19.50,2.00,$6.08             
,,,,,KGS               
12,M12,13.00,23.50,2.50,$6.08             
,,,,,KGS               
14,M14,15.00,28.00,2.50,$6.08             
,,,,,KGS               
16,M16,17.00,29.50,3.00,$6.08             
,,,,,KGS               
18,M18,19.00,33.50,3.00,
,,,,,
20,M20,21.00,36.00,3.00,$6.08             
,,,,,KGS               
22,M22,23.00,38.50,3.00,$6.08             
,,,,,KGS               
24,M24,25.00,43.50,4.00,$6.08             
,,,,,KGS               
27,M27,28.00,49.50,4.00,
,,,,,
30,M30,31.00,55.50,4.00,$6.08             
,,,,,KGS               
PRECIO DE VENTA POR KG. SON APROXIMADOS (INCLUYE IGV),,,,,
