ARANDELA PLANA MÉTRICA TROPICALIZADA,,,,MÉTRICA",
,,DIMENSIONES,,,M1409
CÓD.,Ø,Ø INT.,Ø EXT.,ESP.,CIENTO
05,M5,099",6.40,12.00,$0.25
,,,,,541.4 CTO
06,M6,099",6.40,12.00,$0.52
,,,,,235 CTO
08,M8,8.40,16.00,1.50,$0.98
,,,,,132.4 CTO
10,M10,10.50,19.50,2.00,$1.44
,,,,,85 CTO
12,M12,13.00,23.50,2.50,$2.31
,,,,,52.6 CTO
14,M14,15.00,28.00,2.50,$3.56
,,,,,35 CTO
16,M16,17.00,29.50,3.00,$5.23
,,,,,23.2 CTO
18,M18,19.00,33.50,3.00,
,,,,,
20,M20,21.00,36.00,3.00,$8.76
,,,,,12 CTO
22,M22,23.00,38.50,3.00,$9.79
,,,,,8.5 CTO
24,M24,25.00,43.50,4.00,$15.32
,,,,,9.8 CTO
27,M27,28.00,49.50,4.00,
,,,,,
30,M30,31.00,55.50,4.00,$25.52
,,,,,4.8 CTO
PRECIO DE VENTA POR KG. SON APROXIMADOS (INCLUYE IGV),,,,,
