ESPÁRRAGO MÉTRICO RC - RC CL 8.8,,,
DESCRIPCIÓN,CÓDIGO,P. V.,EMP.
M10 X 60,A180010060,$0.84,PZA
M10 X 65,A180010065,$0.91,
M10 X 70,A180010070,$0.98,
M10 X 75,A180010075,$1.05,
M10 X 80,A180010080,$1.12,
M12 X 40,A180012040,$0.73,
M12 X 50,A180012050,$0.77,PZA
M12 X 60,A180012060,$0.79,PZA
M12 X 70,A180012070,$0.85,
M12 X 75,A180012075,$0.93,
M12 X 80,A180012080,$0.96,
M14 X 50,A181014050,$0.78,
M14 X 60,A181014060,$0.94,
M14 X 70,A181014070,$1.09,
M14 X 80,A181014080,$1.35,
M14 X 90,A181014090,$1.79,
M16 X 60,A181016060,$0.99,
M16 X 70,A181016070,$1.05,
M16 X 80,A181016080,$1.18,
M16 X 90,A181016090,$1.23,PZA
M16 X 100,A181016100,$1.62,
M20 X 80,A181020080,$2.07,PZA
M20 X 90,A181020090,,
M20 X 100,A181020100,$2.54,PZA
,,,
PRECIO DE VENTA POR PIEZA (INCLUYE IGV),,,
