ESPÁRRAGO BOCAMAZA UNC-UNF GR.5,,,,
CÓDIGO,DESCRIPCIÓN,"EMP.
(uds.)","CAJA
(uds.)",P. V.
A20100406,1/4” X 1 1/2”,25,0,$0.33
A20100408,1/4” X 2”,25,0,$0.37
A20100504,5/16” X 1”,25,0,$0.41
A20100506,"5/16” X 1 1/2""",25,0,$0.41
A20100508,5/16” X 2”,25,0,$0.44
A20100510,"5/16” X 2 1/2""",25,0,$0.53
A20100512,"5/16” X 3""",25,0,$0.64
A20100606,"3/8” X 1 1/2""",25,0,$0.45
A20100608,3/8” X 2”,25,0,$0.48
A20100610,3/8” X 2 1/2”,25,0,$0.52
A20100612,3/8” X 3”,25,0,$0.61
A20100706,7/16” X 1 1/2”,25,0,$0.45
A20100708,7/16” X 2”,25,0,$0.50
A20100710,7/16” X 2 1/2”,25,0,$0.59
A20100712,7/16” X 3”,25,0,$0.66
A20100714,7/16” X 3 1/2”,25,0,$0.77
PRECIO DE VENTA POR UNIDAD (INC. IGV),,,,
