ESPÁRRAGO MÉTRICO RC - RF CL 8.8,,,,
CÓDIGO,DESCRIPCIÓN,"EMP.
(uds.)","CAJA
(uds.)",P. V.
A181006020,M6 X 20,25,,$0.38
A181006025,M6 X 25,25,0,$0.40
A181006030,M6 X 30,25,0,$0.48
A181006035,M6 X 35,25,,$0.50
A181006040,M6 X 40,25,0,$0.51
A181006050,M6 X 50,25,0,$0.64
A181008025,M8 X 25,25,,$0.30
A181008030,M8 X 30,25,0,$0.35
A181008035,M8 X 35,25,0,$0.40
A181008040,M8 X 40,25,0,$0.44
A181008045,M8 X 45,25,0,$0.45
A181008050,M8 X 50,25,0,$0.50
A181008060,M8 X 60,25,0,$0.58
A181008070,M8 X 70,25,0,$0.65
A181008080,M8 X 80,25,0,$0.74
A181010030,M10 X 30,25,0,$0.48
A181010035,M10 X 35,25,,$0.66
A181010040,M10 X 40,25,0,$0.51
A181010045,M10 X 45,25,,$0.57
A181010050,M10 X 50,25,0,$0.59
A181010055,M10 X 55,25,,$0.68
A181010060,M10 X 60,25,0,$0.72
PRECIO DE VENTA POR UNIDAD (INC. IGV),,,,
