ESPÁRRAGO MÉTRICO RC - RC CL 8.8,,,,
CÓDIGO,DESCRIPCIÓN,"EMP.
(uds.)","CAJA
(uds.)",P. V.
A180006020,M6 X 20,25,0,$0.32
A180006025,M6 X 25,25,0,$0.40
A180006030,M6 X 30,25,0,$0.48
A180006035,M6 X 35,25,0,$0.50
A180006040,M6 X 40,25,0,$0.51
A180006045,M6 X 45,25,0,$0.55
A180006050,M6 X 50,25,0,$0.64
A180007030,M7 X 30,25,0,$1.14
A180007035,M7 X 35,25,0,$1.23
A180007040,M7 X 40,25,0,$1.29
A180008025,M8 X 25,25,,$0.34
A180008030,M8 X 30,25,,$0.35
A180008035,M8 X 35,25,,$0.40
A180008040,M8 X 40,25,0,$0.44
A180008045,M8 X 45,25,,$0.45
A180008050,M8 X 50,25,0,$0.50
A180008060,M8 X 60,25,0,$0.58
A180008070,M8 X 70,25,0,$0.80
A180008080,M8 X 80,25,,$1.07
A180010030,M10 X 30,25,,
A180010035,M10 X 35,25,0,$0.47
A180010040,M10 X 40,25,0,$0.51
A180010045,M10 X 45,25,,$0.55
A180010050,M10 X 50,25,0,$0.59
A180010055,M10 X 55,25,,$0.77
PRECIO DE VENTA POR UNIDAD (INC. IGV),,,,
