,,,,,,,,,,,Imagen referencial,
PASADOR DE FIERRO PARA HORQUILLA,,,,,,,,,,,,
LARGO,Ø,"1/8""",,"5/32""",,"3/16""",,"1/4""",,"5/16""",,
,CÓD.,E7001,"EMP.
(uds.)",E7001,"EMP.
(uds.)",E7003,"EMP.
(uds.)",E7004,"EMP.
(uds.)",E7005,,"EMP.
(uds.)"
"1""",04,$1.75,"10,000",$1.75,"10,000",$4.55,"5,000",,,,,
"1 1/2""",06,$2.20,"10,000",$2.20,"10,000",$4.96,"4,000",$8.74,"2,200",,,
"2""",08,$2.81,"10,000",$2.81,"10,000",$6.83,"3,500",$9.12,"1,800",,,
"2 1/2""",10,,,,,$6.51,"2,200",$13.64,"1,550",,,
"3""",12,,,,,,,$14.00,"1,200",,,
"3 1/2""",14,,,,,,,,,$28.85,,950
"4""",16,,,,,,,,,$31.46,,755
PRECIO DE VENTA POR CIENTO (INC. IGV),,,,,,,,,,,,
