"Marca: BPW
Modelo: BPW H../R.., KH../KR..
Ø₁: 26 mm.
Ø₂: 37 mm.
Ø₃: 42 mm.
Long.: 78 mm.
Ubicación: Zapata de freno
EMP.
CAJA P. V.
(uds.)",,,
,"EMP.
(uds.)",CAJA,P. V.
,,,
,10,PZA,$8.27
,PRECIO DE VENTA POR UNIDAD,,
"Marca: BPW
Modelo: BPW H../R.., KH../KR..
Ø₁: 22 mm.
Ø₂: 42 mm.
Long.: 58 mm.
Ubicación: Zapata de freno
EMP.
CAJA P. V.
(uds.)",,,
,"EMP.
(uds.)",CAJA,P. V.
,,,
,10,PZA,$4.22
,PRECIO DE VENTA POR UNIDAD,,
"Marca: Fruehauf, ROR / Meritor,
SAF
Modelo: Trailer
Ø₁: 19 mm.
Ø₂: 32 mm.
Long.₁: 33 mm.
Long.₂: 57 mm.
Ubicación: Zapata de freno
EMP.
CAJA P. V.
(uds.)",,,
,"EMP.
(uds.)",CAJA,P. V.
,10,PZA,$10.34
,PRECIO DE VENTA POR UNIDAD,,
"Marca: Carretas
Ø₁: 25 mm.
Ø₂: 28 mm.
Long.₁: 38 mm.
Long.₂: 58 mm.
Ubicación: Zapata de freno
EMP.
CAJA P. V.
(uds.)",,,
,"EMP.
(uds.)",CAJA,P. V.
,10,PZA,$4.22
,PRECIO DE VENTA POR UNIDAD,,
