50 CTO,30 CTO,21 CTO,,,,,,
45 CTO,,,,,,,,
40 CTO,26 CTO,18 CTO,,9 CTO,,,,
36 CTO,22 CTO,15 CTO,10 CTO,6.5 CTO,4 CTO,,,
28 CTO,18 CTO,13 CTO,,6.5 CTO,3.5 CTO,,,
24 CTO,16 CTO,10 CTO,7.5 CTO,5 CTO,3 CTO,2 CTO,,
16 CTO,12 CTO,8 CTO,6 CTO,4.5 CTO,2.5 CTO,1.8 CTO,1.2 CTO,
13 CTO,9 CTO,6.5 CTO,4.5 CTO,3.25 CTO,2 CTO,1.4 CTO,1 CTO,0.8 CTO
9 CTO,7 CTO,5 CTO,4 CTO,3 CTO,1.75 CTO,1.2 CTO,0.9 CTO,0.6 CTO
,,,,,,,,
7.5 CTO,6 CTO,4 CTO,3 CTO,2.5 CTO,1.5 CTO,1 CTO,0.7 CTO,0.6 CTO
6 CTO,5 CTO,3.5 CTO,2.5 CTO,2 CTO,1.25 CTO,0.85 CTO,0.6 CTO,0.5 CTO
