0 CTO,28 CTO,,,,,
38.5 CTO,23.5 CTO,16 CTO,,,,
33.5 CTO,20 CTO,13.5 CTO,9.7 CTO,6 CTO,,3 CTO
20 CTO,17 CTO,12 CTO,8.5 CTO,5 CTO,,
23 CTO,14 CTO,10.5 CTO,7 CTO,4.8 CTO,4.2 CTO,3.05 CTO
,,9 CTO,,,,
15 CTO,11 CTO,7.9 CTO,6 CTO,3.9 CTO,3.27 CTO,2.5 CTO
14 CTO,8.5 CTO,6.2 CTO,4.25 CTO,3 CTO,2.75 CTO,2 CTO
11 CTO,6.5 CTO,5.5 CTO,3.5 CTO,2.5 CTO,2.3 CTO,1.9 CTO
,5.5 CTO,4.5 CTO,3.5 CTO,2.5 CTO,2 CTO,1.6 CTO
9 CTO,5 CTO,4.25 CTO,3 CTO,2.3 CTO,1.7 CTO,1.4 CTO
,,3.7 CTO,,2 CTO,1.6 CTO,1.3 CTO
