47.4 CTO,18 CTO,,,,
43 CTO,21.61 CTO,11 CTO,8 CTO,,
35 CTO,19 CTO,10 CTO,7.5 CTO,,
30 CTO,17 CTO,10 CTO,7 CTO,4.5 CTO,3.2 CTO
26.5 CTO,13 CTO,8.5 CTO,6 CTO,4 CTO,3 CTO
16 CTO,12.5 CTO,8 CTO,5.5 CTO,3.5 CTO,2.9 CTO
,13 CTO,7 CTO,5 CTO,3.2 CTO,2.7 CTO
15 CTO,10 CTO,6.5 CTO,4.5 CTO,3 CTO,2.5 CTO
12 CTO,9 CTO,5.5 CTO,3.5 CTO,3 CTO,2.2 CTO
8 CTO,7 CTO,5 CTO,3.3 CTO,1.8 CTO,1.9 CTO
5 CTO,6 CTO,4 CTO,3 CTO,2.2 CTO,1.7 CTO
,6.5 CTO,3.5 CTO,2.5 CTO,1.8 CTO,1.6 CTO
8.5 CTO,4.5 CTO,3.5 CTO,2.2 CTO,1 CTO,1.4 CTO
