36 CTO,22 CTO,,,
32 CTO,18.5 CTO,12.5 CTO,5.5 CTO,
27 CTO,16 CTO,11 CTO,5.3 CTO,
24 CTO,15 CTO,9 CTO,4.8 CTO,
17 CTO,13 CTO,8.2 CTO,4 CTO,
17 CTO,10 CTO,6.5 CTO,3 CTO,1.9 CTO
10 CTO,8.5 CTO,6 CTO,2.5 CTO,1.75 CTO
8.5 CTO,,,,
13 CTO,7 CTO,4.5 CTO,2.15 CTO,
6 CTO,6.5 CTO,4.7 CTO,2 CTO,1.3 CTO
5 CTO,6 CTO,4 CTO,1.7 CTO,
5 CTO,5.5 CTO,3.8 CTO,2.06 CTO,1.25 CTO
6 CTO,3 CTO,3.5 CTO,,
7 CTO,4.98 CTO,3.3 CTO,1.77 CTO,1.09 CTO
,4.2 CTO,2 CTO,1.25 CTO,1 CTO
,3.8 CTO,2 CTO,1.25 CTO,0.9 CTO
,,2 CTO,1.2 CTO,
,,2 CTO,1.1 CTO,
