,,,,
1.2 CTO,,,,
9 CTO,6 CTO,,,
7.5 CTO,5 CTO,,,
7 CTO,5 CTO,,,
7 CTO,5 CTO,,,
5 CTO,3.5 CTO,2.5 CTO,2 CTO,
4.5 CTO,4 CTO,,,
4 CTO,4 CTO,2.5 CTO,2 CTO,
3.5 CTO,3 CTO,2.5 CTO,1.5 CTO,0.8 CTO
3 CTO,2 CTO,2 CTO,1.5 CTO,1 CTO
3 CTO,2.5 CTO,1.2 CTO,1.3 CTO,0.6 CTO
2 CTO,2 CTO,0.8 CTO,1.2 CTO,0.8 CTO
3 CTO,2 CTO,0.5 CTO,0.7 CTO,0.75 CTO
2.5 CTO,1.5 CTO,1.5 CTO,0.8 CTO,0.5 CTO
2.5 CTO,1.5 CTO,1 CTO,0.8 CTO,0.6 CTO
2 CTO,1.5 CTO,1 CTO,0.8 CTO,0.5 CTO
,1.2 CTO,,,
1.5 CTO,1 CTO,1 CTO,0.8 CTO,0.55 CTO
,1.2 CTO,,,
,1.2 CTO,1 CTO,0.6 CTO,0.4 CTO
