,$3.63,,,,,,,
$2.25,$4.41,$6.25,$8.38,,,,,
$2.57,$4.90,$7.27,$8.76,$19.82,,,,
$3.22,$5.71,$8.26,$9.58,$20.69,,,,
$3.86,$6.53,$9.51,$10.82,$21.05,$37.24,,,
$4.51,$6.99,$11.45,$12.41,$22.84,$41.17,$61.04,,
$5.61,$8.22,$12.18,$14.71,$25.24,$45.28,$66.61,,$180.53
$5.65,$9.48,$14.37,$17.00,$27.80,$49.71,$73.04,$141.01,$194.07
$6.20,$11.42,$15.59,$20.64,$31.32,$54.15,$79.13,$150.39,$199.01
,,$16.41,$22.31,$40.79,$63.86,$90.21,,$209.66
,,$17.90,$22.87,$44.60,$65.43,$92.69,$172.83,$226.34
,,,$29.75,$48.23,$70.89,$104.17,$205.11,$255.75
,,,$35.48,$59.47,$90.77,$131.65,$211.52,$285.88
,,,$39.94,$59.78,$115.16,$135.35,$261.64,$345.70
,,,$44.19,$61.81,$119.26,$147.54,,$380.01
,,,,$81.66,$122.68,$163.87,$299.44,$386.78
,,,,$114.72,$145.10,$193.99,,
,,,,,,$216.68,,
