$3.01,$5.07,$7.63,,,,
$3.32,$5.24,,,,,
$3.67,$5.65,$8.13,$12.86,$18.94,,
$4.24,$6.55,$9.50,$15.05,$20.08,,
$5.02,$7.92,$11.07,$16.99,$23.39,,
$5.51,$8.48,$12.48,$17.55,$24.91,$43.11,$73.42
$6.84,$10.48,$15.21,$22.47,$30.23,$51.92,$82.45
$8.47,$12.93,$18.56,$28.36,$35.18,$60.42,$98.24
$10.27,$15.19,$22.34,$32.37,$42.41,$71.56,$107.32
,,,,,,
$11.82,$17.70,$26.05,$38.75,$48.80,$81.20,$120.04
$13.62,$20.20,$29.31,$42.42,$55.96,$91.71,$134.47
$15.41,$23.47,$33.45,$49.43,$62.14,$106.80,$157.01
$16.74,$24.13,$35.13,$55.85,$66.15,$112.83,$171.68
