$3.73,$6.40,,,
$4.04,$6.89,$11.20,$23.12,
$4.94,$8.25,$12.74,$24.91,
$5.25,$8.47,$13.44,$27.20,
$6.30,$10.55,$16.35,$33.21,
$7.50,$12.19,$19.53,$36.93,$60.13
$8.56,$14.02,$21.28,$42.42,$69.76
$9.00,,,,
$9.90,$16.00,$23.55,$49.98,
$11.01,$17.97,$26.13,$55.05,$88.26
$12.77,$21.95,$31.38,$59.55,
$13.31,$22.62,$31.98,$63.09,$100.72
$15.17,$25.88,$36.07,,
$16.01,$26.41,$36.79,$69.27,$117.48
,$32.21,$42.09,$82.31,$139.77
,$35.81,$49.03,$99.37,$154.84
,,$54.29,$106.71,
,,$65.58,$117.63,
