PERNO HEXAGONAL MÉTRICO RC - AC. INOX 304,,,,,,,,,,
,,I4M3204,I4M3205,I4M3206,I4M3208,I4M3210,I4M3212,I4M3214,I4M3216,I4M3218
CÓD.,LARGO,Ø M4,Ø M5,Ø M6,Ø M8,Ø M10,Ø M12,Ø M14,Ø M16,Ø M18
16,80,,,$29.06,$56.23,$75.45,$107.03,$177.17,$237.14,$301.41
,,,,10 CTO,6 CTO,4.5 CTO,2.5 CTO,2 CTO,1.5 CTO,1.3 CTO
18,90,,,$33.12,$64.83,$82.48,$129.38,$202.84,$246.70,$328.61
,,,,10 CTO,5 CTO,3.5 CTO,2.5 CTO,2 CTO,1.5 CTO,1 CTO
20,100,,,$36.47,$67.32,$90.12,$141.59,$209.70,$294.80,$356.47
,,,,8 CTO,4.5 CTO,3.5 CTO,2 CTO,2 CTO,1.25 CTO,1 CTO
22,110,,,$39.83,$73.16,$111.82,$167.63,,,
,,,,8 CTO,4.5 CTO,3 CTO,2 CTO,,,
24,120,,,$43.35,$78.81,$120.31,$180.68,,$311.30,$409.09
,,,,8 CTO,4.5 CTO,2.5 CTO,1.7 CTO,,1.1 CTO,1 CTO
26,130,,,$46.15,$82.12,$129.32,$184.95,,$381.44,$433.70
,,,,7 CTO,4 CTO,2.5 CTO,1.6 CTO,,1 CTO,1 CTO
28,140,,,$49.12,$82.75,$136.96,$205.79,,$387.08,$461.23
,,,,7 CTO,4 CTO,2.5 CTO,1.5 CTO,,1 CTO,0.8 CTO
30,150,,,$52.29,$85.66,$145.46,$217.65,,$392.37,
,,,,6 CTO,4 CTO,2 CTO,1.5 CTO,,1 CTO,
32,160,,,,,$154.64,$221.25,,$434.10,
,,,,,,2 CTO,1.5 CTO,,1 CTO,
36,180,,,,,,$243.88,,,
,,,,,,,1.5 CTO,,,
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,,,,,
