PERNO SOCKET BUTTON MÉTRICO RC - AC. INOX 304,,,,,,,,
,,I4M4003,I4M4004,I4M4005,I4M4006,I4M4008,I4M4010,I4M4012
CÓD.,LARGO,Ø M3,Ø M4,Ø M5,Ø M6,Ø M8,Ø M10,Ø M12
02,10,$2.14,$3.56,$5.92,$6.61,,,
,,400 CTO,160 CTO,120 CTO,75 CTO,,,
03,16,$2.83,$4.45,$7.89,$9.12,$17.79,,
,,250 CTO,150 CTO,90 CTO,65 CTO,10 CTO,,
04,20,$3.53,$5.64,$9.30,$10.48,$20.67,,
,,200 CTO,120 CTO,80 CTO,55 CTO,30 CTO,,
05,25,,,$11.00,$12.31,$24.24,$47.08,
,,,,65 CTO,45 CTO,20 CTO,CTO,
06,30,,,,$15.32,$28.71,$47.08,$124.73
,,,,,40 CTO,20 CTO,CTO,CTO
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,,,
