PERNO CAB. COCHE PULGADA UNC - AC. INOX 304,,,,,,
,,I4E2904,I4E2905,I4E2906,I4E2908,I4E2910
CÓD.,LARGO,"Ø 1/4""","Ø 5/16""","Ø 3/8""","Ø 1/2""","Ø 5/8"""
03,"3/4""",$11.33,$18.42,,,
,,40 CTO,20 CTO,,,
04,"1""",$13.65,$19.56,$36.06,,
,,35 CTO,18 CTO,12 CTO,,
05,"1 1/4""",$16.98,$23.25,,,
,,25 CTO,18 CTO,,,
06,"1 1/2""",$17.13,$26.24,$46.21,,
,,22 CTO,15 CTO,10 CTO,,
08,"2""",$20.98,$31.79,$58.45,$108.34,
,,15 CTO,11 CTO,8 CTO,4 CTO,
10,"2 1/2""",$26.74,$39.36,$69.11,$126.21,
,,12 CTO,8 CTO,6.5 CTO,3 CTO,
12,"3""",$28.30,$43.19,$80.50,$273.94,
,,9 CTO,7 CTO,5 CTO,3 CTO,
14,"3 1/2""",$33.91,,,,
,,7.5 CTO,,,,
16,"4""",,,$95.05,$358.40,
,,,,3.5 CTO,2 CTO,
18,"4 1/2""",,,,,
,,,,,,
20,"5""",,,$108.52,,
,,,,2.5 CTO,,
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,
