TORNILLO AUTORROSCANTE CAB. FLAT PULGADA - AC. INOX 304,,,,,,,
,,I4E5304,I4E5306,I4E5308,I4E5310,I4E5312,I4E5314
CÓD.,LARGO,#4,#6,#8,#10,#12,#14
04,"1/4""",,,,,,
,,,,,,,
06,"3/8""",$1.09,$1.63,,,,
,,400 CTO,300 CTO,,,,
08,"1/2""",$1.38,$1.70,$2.84,$3.78,,
,,350 CTO,200 CTO,160 CTO,120 CTO,,
10,"5/8""",$1.72,$1.97,$3.27,$4.66,,
,,210 CTO,150 CTO,120 CTO,120 CTO,,
12,"3/4""",$1.71,$2.69,$3.84,$4.85,$7.21,$5.70
,,200 CTO,140 CTO,100 CTO,100 CTO,60 CTO,48 CTO
16,"1""",$2.61,$2.95,$4.06,$6.44,$8.35,$8.26
,,120 CTO,100 CTO,75 CTO,65 CTO,45 CTO,34 CTO
24,"1 1/4""",,$3.88,$4.76,$8.04,$11.16,$10.66
,,,CTO,60 CTO,50 CTO,30 CTO,20 CTO
26,"1 1/2""",,$4.22,$7.40,$9.00,$11.58,$12.86
,,,60 CTO,45 CTO,35 CTO,28 CTO,20 CTO
32,"2""",,$5.62,$8.38,,$17.04,
,,,30 CTO,25 CTO,,20 CTO,
34,"2 1/2""",,,$17.11,$15.95,$21.88,$20.01
,,,,15 CTO,15 CTO,13.2 CTO,9 CTO
36,"3""",,,,,$25.39,$24.02
,,,,,,10.2 CTO,10.2 CTO
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,,
