TORNILLO STOVE BOLT CAB. FLAT MÉTRICO - AC. INOX 304,,,,,,,
,,I4M7303,I4M7304,I4M7305,I4M7306,I4M7308,I4M7310
CÓD.,LARGO,Ø M3,Ø M4,Ø M5,Ø M6,Ø M8,Ø M10
04,8,,,,$6.24,,
,,,,,CTO,,
05,10,$2.09,$3.85,$5.16,$7.25,,
,,350 CTO,180 CTO,140 CTO,80 CTO,,
06,12,,$4.73,$5.66,$8.33,,
,,,150 CTO,140 CTO,80 CTO,,
08,16,,$5.66,$7.81,$10.33,,
,,,100 CTO,100 CTO,65 CTO,,
10,20,$3.68,$6.87,$8.94,$11.86,$22.82,$36.77
,,150 CTO,100 CTO,70 CTO,55 CTO,20 CTO,12 CTO
12,25,,$8.05,$10.35,$15.68,$28.96,$43.37
,,,60 CTO,55 CTO,32 CTO,16 CTO,9 CTO
15,30,,$9.36,$12.79,$16.53,$30.40,
,,,60 CTO,40 CTO,30 CTO,15 CTO,
17,35,,$9.68,$13.92,$19.10,$34.60,$58.39
,,,45 CTO,35 CTO,25 CTO,13 CTO,7.8 CTO
20,40,,$11.99,$15.65,$21.30,$39.60,
,,,40 CTO,30 CTO,18 CTO,12 CTO,
23,45,,,$18.35,$23.71,$46.14,$71.97
,,,,25 CTO,16 CTO,10 CTO,6 CTO
25,50,,,$19.30,$26.11,$48.36,
,,,,25 CTO,15 CTO,8 CTO,
30,60,,,,,,
,,,,,,,
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,,
