PERNO HEXAGONAL PULGADA UNC - AC. INOX 316,,,,,,,,,,
,,I6E3204,I6E3205,I6E3206,,I6E3208,I6E3210,I6E3212,I6E3214,I6E3216
CÓD.,LARGO,"Ø 1/4""","Ø 5/16""","Ø 3/8""","Ø 7/16""","Ø 1/2""","Ø 5/8""","Ø 3/4""","Ø 7/8""","Ø 1"""
01,"1/2""",,,,,,,,,
,,,,,,,,,,
02,"5/8""",$13.05,,,,,,,,
,,50 CTO,,,,,,,,
03,"3/4""",$13.92,$21.12,$28.85,,,,,,
,,40 CTO,26 CTO,18 CTO,,,,,,
04,"1""",$19.08,$24.91,$33.94,,$77.69,,,,
,,36 CTO,22 CTO,15 CTO,,6.5 CTO,,,,
05,"1 1/4""",$23.60,$28.90,$41.45,,$87.89,,,,
,,28 CTO,18 CTO,13 CTO,,6.5 CTO,,,,
06,"1 1/2""",$27.36,$34.67,$48.84,,$93.22,$190.44,,,
,,24 CTO,16 CTO,10 CTO,,5 CTO,3 CTO,,,
08,"2""",$35.14,$44.24,$58.06,,$118.26,$226.87,$303.05,,
,,16 CTO,12 CTO,8 CTO,,4.5 CTO,2.5 CTO,1.8 CTO,,
10,"2 1/2""",$37.11,$54.00,$76.43,,$142.14,$252.07,$364.34,,
,,13 CTO,9 CTO,6.5 CTO,,3.25 CTO,2 CTO,1.4 CTO,,
12,"3""",$50.45,$63.37,$83.27,,$182.52,$302.35,$414.65,$599.95,$778.01
,,9 CTO,7 CTO,5 CTO,,3 CTO,1.75 CTO,1.2 CTO,0.9 CTO,0.6 CTO
,"3 1/4""",,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
14,"3 1/2""",,,$96.52,,$210.44,$366.34,$442.74,,$884.19
,,,,4 CTO,,2.5 CTO,1.5 CTO,1 CTO,,0.6 CTO
16,"4""",$65.50,,$109.04,,$235.13,$430.90,$495.05,$765.74,$981.26
,,6 CTO,,3.5 CTO,,2 CTO,1.25 CTO,0.85 CTO,0.6 CTO,0.5 CTO
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,,,,,
