PERNO HEXAGONAL MÉTRICO RF - CL. 8.8 PAVONADO,,,,,,,,,,
,,M2508,M2560,M2510,M2562,M2512,M2514,M2516,M2518,M2520
CÓD.,LARGO,M8 X 1.00,M10 X 1.00,M10 X 1.25,M12 X 1.25,M12 X 1.50,M14 X 1.50,M16 X 1.50,M18 X 1.50,M20 X 1.50
16,80,,,$41.57,,$51.41,,,$154.84,$194.04
,,,,4.5 CTO,,3 CTO,,,1.3 CTO,0.9 CTO
18,90,,,$45.58,$55.70,$56.38,$79.95,,,
,,,,4 CTO,2.75 CTO,2.8 CTO,2 CTO,,,
20,100,,,$51.15,$61.22,,$89.18,$132.86,$201.71,$239.84
,,,,3 CTO,2.5 CTO,,1.83 CTO,1.4 CTO,1 CTO,0.8 CTO
22,110,,,,,,$94.91,$143.54,,
,,,,,,,1.6 CTO,1.3 CTO,,
24,120,,,$59.48,$72.51,$69.77,$101.57,,$224.06,$265.08
,,,,3 CTO,2 CTO,1.9 CTO,1.5 CTO,,0.9 CTO,0.5 CTO
26,130,,,$60.62,,,$101.69,,,
,,,,2.5 CTO,,,1.45 CTO,,,
30,150,,,$68.48,,$88.74,$118.00,$180.50,$281.96,$318.55
,,,,2 CTO,,1.8 CTO,1.25 CTO,1 CTO,0.75 CTO,0.6 CTO
36,180,,,$84.76,,,,,,
,,,,2.2 CTO,,,,,,
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,,,,,
