PERNO HEXAGONAL PULGADA UNC - GR. 8 PAVONADO,,,,,,,,
,,E2604,E2605,E2606,E2607,E2608,E2609,E2610
CÓD.,LARGO,"Ø 1/4""","Ø 5/16""","Ø 3/8""","Ø 7/16""","Ø 1/2""","Ø 9/16""","Ø 5/8"""
18,"4 1/2""",,,$40.72,,$74.99,$100.30,$113.02
,,,,3.7 CTO,,2 CTO,1.6 CTO,1.3 CTO
20,"5""",,,$45.01,$60.98,$82.58,$102.22,$124.91
,,,,3.5 CTO,2.5 CTO,1.9 CTO,1.5 CTO,1.1 CTO
22,"5 1/2""",,,$50.86,,$88.77,,$136.11
,,,,3 CTO,,1.5 CTO,,1 CTO
24,"6""",,,$52.66,$74.87,$97.53,$120.84,$146.85
,,,,2.8 CTO,1.7 CTO,1.4 CTO,1.2 CTO,1 CTO
28,"7""",,,,,$111.73,,$170.23
,,,,,,1.35 CTO,,0.8 CTO
32,"8""",,,$69.31,,$127.42,,$190.59
,,,,2.2 CTO,,1.3 CTO,,0.75 CTO
36,"9""",,,,,$147.43,,$212.35
,,,,,,1 CTO,,0.7 CTO
40,"10""",,,$86.82,,$164.99,,$247.88
,,,,1.75 CTO,,0.9 CTO,,0.58 CTO
44,"11""",,,,,,,
,,,,,,,,
,,,,,,,,
48,"12""",,,,,,,
,,,,,,,,
52,"13""",,,,,,,
,,,,,,,,
56,"14""",,,,,,,
,,,,,,,,
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,,,
