PERNO SOCKET PULGADA CAB. BUTTON UNC - GR. 8,,,,,
,,E4003,E4004,E4005,E4006
CÓD.,LARGO,"Ø 3/16""","Ø 1/4""","Ø 5/16""","Ø 3/8"""
01,"3/8""",$4.53,,,
,,100 CTO,,,
02,"1/2""",$5.66,$6.02,,
,,80 CTO,45 CTO,,
021,"5/8""",$6.51,$5.66,,
,,64 CTO,40 CTO,,
03,"3/4""",$7.36,$5.83,$11.94,
,,64 CTO,25 CTO,20 CTO,
04,"1""",$9.63,$7.82,$14.24,$25.16
,,40 CTO,25 CTO,15 CTO,10 CTO
05,"1 1/4""",$11.33,,$16.39,
,,32 CTO,,20 CTO,
06,"1 1/2""",$13.03,$10.77,,$33.69
,,25 CTO,15 CTO,,7 CTO
08,"2""",$16.99,$13.85,,$41.76
,,16 CTO,10 CTO,,4 CTO
10,"2 1/2""",,,,
,,,,,
12,"3""",,,,
,,,,,
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,
