PERNO SOCKET MÉTRICO CAB. BUTTON RC - CL. 10.9,,,,,,,
,,M4003,M4004,M4005,M4006,M4008,M4010
CÓD.,LARGO,Ø M3,Ø M4,Ø M5,Ø M6,Ø M8,Ø M10
05,10,$3.86,$7.02,$4.67,$4.58,,
,,CTO,130 CTO,80 CTO,60 CTO,,
06,12,$4.50,$7.78,$5.07,$5.03,,
,,250 CTO,130 CTO,75 CTO,55 CTO,,
08,16,$5.14,$8.98,$6.23,$6.10,$8.48,$37.00
,,170 CTO,100 CTO,55 CTO,40 CTO,20 CTO,CTO
10,20,,$10.03,$7.28,$7.16,$9.85,
,,,75 CTO,50 CTO,35 CTO,20 CTO,
12,25,,,,$8.53,$11.45,$19.82
,,,,,30 CTO,15 CTO,9 CTO
15,30,,,,,$13.15,$23.12
,,,,,,14 CTO,7 CTO
20,40,,,,,,$27.90
,,,,,,,6 CTO
25,50,,,,$14.77,,
,,,,,CTO,,
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,,
