PRISIONERO ALLEN PULGADA UNC - GR. 8,,,,,,,,
,,E3803,E3804,E3805,E3806,E3807,E3808,E3810
CÓD.,LARGO,"Ø 3/16""","Ø 1/4""","Ø 5/16""","Ø 3/8""","Ø 7/16""","Ø 1/2""","Ø 5/8"""
03,"3/16""",$1.99,,,,,,
,,410 CTO,,,,,,
04,"1/4""",$3.48,$2.61,,,,,
,,550 CTO,220 CTO,,,,,
05,"5/16""",,,$3.91,,,,
,,,,110 CTO,,,,
06,"3/8""",$5.06,$3.91,$4.94,$7.36,,,
,,300 CTO,110 CTO,88 CTO,65 CTO,,,
08,"1/2""",$6.96,$5.62,$7.58,$10.77,$13.00,$14.15,
,,200 CTO,137 CTO,45 CTO,30 CTO,40 CTO,35 CTO,
10,"5/8""",$9.49,$7.39,$9.42,$14.18,$18.04,$20.11,$35.98
,,100 CTO,80 CTO,40 CTO,23 CTO,26 CTO,19 CTO,7.2 CTO
12,"3/4""",$11.39,$9.17,$12.13,$18.12,$20.11,$25.03,$47.97
,,76 CTO,44 CTO,35 CTO,18 CTO,20 CTO,10 CTO,7.2 CTO
16,"1""",$15.17,$12.41,$17.16,$24.01,$31.87,$38.95,$66.48
,,40 CTO,25 CTO,20 CTO,20 CTO,8 CTO,7 CTO,5 CTO
24,"1 1/4""",$19.60,$16.25,$22.10,$30.34,,$49.11,$88.90
,,43 CTO,20 CTO,13 CTO,11 CTO,,10 CTO,3.7 CTO
26,"1 1/2""",,$19.21,$27.03,$35.99,$50.65,$60.31,$108.97
,,,12 CTO,13 CTO,11 CTO,8 CTO,4.4 CTO,4 CTO
32,"2""",,,$37.43,$47.98,,$84.06,$150.16
,,,,8 CTO,8 CTO,,3.5 CTO,3 CTO
34,"2 1/2""",,,,$61.62,,$107.13,$190.82
,,,,,8 CTO,,5 CTO,2.5 CTO
36,"3""",,,,,,$129.75,$231.75
,,,,,,,2.5 CTO,2.5 CTO
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,,,
