PERNO ESTRUCTURAL PAVONADO - ASTM A325,,,,,,
,,E2008,E2010,E2012,E2014,E2016
CÓD.,LARGO,"Ø 1/2""","Ø 5/8""","Ø 3/4""","Ø 7/8""","Ø 1"""
04,"1""",,,,,
,,,,,,
05,"1 1/4""",$26.00,,,,
,,5.7 CTO,,,,
06,"1 1/2""",$30.34,$48.84,$78.89,,
,,4.5 CTO,2.8 CTO,1.5 CTO,,
07,"1 3/4""",$33.22,$55.25,$85.95,,
,,4 CTO,2 CTO,1 CTO,,
08,"2""",$36.63,$60.89,$92.46,$131.85,
,,3.5 CTO,2.15 CTO,1.5 CTO,1.05 CTO,
09,"2 1/4""",,,$101.03,$142.33,$187.20
,,,,1.3 CTO,0.7 CTO,0.7 CTO
10,"2 1/2""",$44.23,$70.87,,$153.45,$211.29
,,2 CTO,1.95 CTO,,0.88 CTO,0.5 CTO
11,"2 3/4""",,,$115.25,,$225.95
,,,,1 CTO,,0.5 CTO
12,"3""",,$81.61,$123.29,$173.20,
,,,1.65 CTO,1.1 CTO,0.8 CTO,
13,"3 1/4""",,,$127.78,,$248.63
,,,,1 CTO,,0.54 CTO
14,"3 1/2""",,,$137.45,$192.41,$263.71
,,,,1 CTO,0.65 CTO,0.6 CTO
15,"3 3/4""",,,,,$276.78
,,,,,,0.5 CTO
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,
