DELETE,TUERCA HEXAGONAL PULGADAS,,,,,,,,,,,
,CINCADA,,,
,,,E02,E0206
,CÓD.,Ø,UNC - GR. 2,UNF - GR. 2
,0304,"1/4""",$1.55,
,,,80 CTO,
,0305,"5/16""",$2.31,
,,,50 CTO,
,0306,"3/8""",$3.43,
,,,35 CTO,
,0307,"7/16""",$6.40,
,,,20 CTO,
,0308,"1/2""",$8.09,
,,,15 CTO,
,0409,"9/16""",$11.40,
,,,2 CTO,
,0310,"5/8""",$15.72,
,,,8 CTO,
,0312,"3/4""",$25.49,
,,,5 CTO,
,0314,"7/8""",$42.88,
,,,3 CTO,
,0316,"1""",$60.09,
,,,2 CTO,
,0420,"1 1/8""",$110.97,
,,,1.3 CTO,
,0422,"1 1/4""",$144.15,
,,,0.9 CTO,
,0424,"1 3/8""",$203.51,
,,,0.8 CTO,
,0426,"1 1/2""",$245.66,
,,,0.55 CTO,
,0428,"1 3/4""",$421.02,
,,,0.25 CTO,
,0430,"2""",$624.54,
,,,0.25 CTO,
,,,,
