DELETE,ARANDELA PLANA STANDARD,,,,,,,,,,
,,,E1100,E1200,,E1101,E1203,,DIMENSIONES,,
,CÓD.,Ø,"SIN ZINCAR KG.","ZINCADO KG.",CANT. X KG.,"SIN ZINCAR CIENTO","ZINCADO CIENTO",CANT.,Ø INT.,Ø EXT.,ESP.
,04,"1/4""",$4.96,$5.22,159,$3.43,$4.54,160,6.50,22.00,2.50
,,,25 KGS,25 KGS,,0 CTO,0 CTO,,,,
,05,"5/16""",$4.96,$5.22,146,$3.73,$3.58,150,8.40,23.80,2.50
,,,25 KGS,25 KGS,,0 CTO,0 CTO,,,,
,06,"3/8""",$4.96,$5.22,125,$4.37,$4.18,120,10.10,25.70,2.30
,,,25 KGS,25 KGS,,0 CTO,0 CTO,,,,
,07,"7/16""",$4.96,$5.22,100,$5.45,$5.22,95,11.80,29.80,2.30
,,,25 KGS,25 KGS,,0 CTO,0 CTO,,,,
,08,"1/2""",$4.96,$5.22,64,$8.52,$8.15,71,13.20,35.00,2.30
,,,25 KGS,25 KGS,,0 CTO,0 CTO,,,,
,09,"9/16""",$4.96,$5.22,59,$9.24,$8.84,60,15.30,37.80,2.30
,,,25 KGS,25 KGS,,0 CTO,0 CTO,,,,
,10,"5/8""",$4.96,$5.22,42,$12.98,$12.41,42,17.00,45.00,2.50
,,,25 KGS,25 KGS,,0 CTO,0 CTO,,,,
,12,"3/4""",$4.96,$5.22,32,$17.04,$16.30,35,21.00,50.00,2.70
,,,25 KGS,25 KGS,,0 CTO,0 CTO,,,,
,14,"7/8""",$4.96,$5.22,21,$21.81,$20.86,26,23.30,55.50,2.80
,,,25 KGS,25 KGS,,0 CTO,0 CTO,,,,
,16,"1""",$4.96,$5.22,25,$25.96,$29.62,26,26.60,59.00,2.50
,,,25 KGS,25 KGS,,0 CTO,0 CTO,,,,
,PRECIO DE VENTA POR KG. SON APROXIMADOS (INCLUYE IGV),,,,,,,,,,
