DELETE,ARANDELA PLANA MÉTRICA TROPICALIZADA,,,,,,,"ARANDELA PRESIÓN MÉTRICA",
,,,M1200,,DIMENSIONES,,,M1400,M1409
,CÓD.,Ø,"SIN ZINCAR KG.",CANT. X KG.,Ø INT.,Ø EXT.,ESP.,KG.,CIENTO
,05,M5,,"1,099",6.40,12.00,1.50,$6.08,$0.25
,,,,,,,,KGS,541.4 CTO
,06,M6,$6.04,"1,099",6.40,12.00,1.50,$6.08,$0.52
,,,24600 KGS,,,,,KGS,235 CTO
,08,M8,$6.04,639,8.40,16.00,1.50,$6.08,$0.98
,,,14800 KGS,,,,,KGS,132.4 CTO
,10,M10,$6.04,355,10.50,19.50,2.00,$6.08,$1.44
,,,8000 KGS,,,,,KGS,85 CTO
,12,M12,$6.04,186,13.00,23.50,2.50,$6.08,$2.31
,,,4000 KGS,,,,,KGS,52.6 CTO
,14,M14,$6.04,121,15.00,28.00,2.50,$6.08,$3.56
,,,3000 KGS,,,,,KGS,35 CTO
,16,M16,$6.04,112,17.00,29.50,3.00,$6.08,$5.23
,,,2500 KGS,,,,,KGS,23.2 CTO
,18,M18,$6.04,74,19.00,33.50,3.00,,
,,,1800 KGS,,,,,,
,20,M20,$6.04,65,21.00,36.00,3.00,$6.08,$8.76
,,,1400 KGS,,,,,KGS,12 CTO
,22,M22,$6.04,68,23.00,38.50,3.00,$6.08,$9.79
,,,1485 KGS,,,,,KGS,8.5 CTO
,24,M24,$6.04,37,25.00,43.50,4.00,$6.08,$15.32
,,,900 KGS,,,,,KGS,9.8 CTO
,27,M27,$6.04,28,28.00,49.50,4.00,,
,,,700 KGS,,,,,,
,30,M30,$6.04,22,31.00,55.50,4.00,$6.08,$25.52
,,,500 KGS,,,,,KGS,4.8 CTO
,PRECIO DE VENTA POR KG. SON APROXIMADOS (INCLUYE IGV),,,,,,,,
