DELETE,CABLE THW-90 (7 HILOS) - ROLLO DE 100 M.,,,,,
,,,FCTHW014,FCTHW012,FCTHW010,FCTHW008
,CÓD.,COLOR,#14 AWG,#12 AWG,#10 AWG,#08 AWG
,NE,NEGRO,$60.50,$90.87,$152.40,$245.20
,,,RLL,RLL,RLL,RLL
,BL,BLANCO,$60.50,$90.87,$152.40,$245.20
,,,RLL,RLL,RLL,RLL
,AM,AMARILLO,$60.50,$90.87,$152.40,$245.20
,,,RLL,RLL,RLL,RLL
,AZ,AZUL,$60.50,$90.87,$152.40,$245.20
,,,RLL,RLL,RLL,RLL
,RO,ROJO,$60.50,$90.87,$152.40,$245.20
,,,RLL,RLL,RLL,RLL
,VE,VERDE,$60.50,$90.87,,
,,,RLL,RLL,,
,PRECIO DE VENTA POR ROLLO (INCLUYE IGV),,,,,
