TUERCA HEXAGONAL PULGADA UNC - AC.INOX 304,,01,"1/8"""
TUERCA HEXAGONAL PULGADA UNC - AC.INOX 304,,02,"5/32"""
TUERCA HEXAGONAL PULGADA UNC - AC.INOX 304,,03,"3/16"""
TUERCA HEXAGONAL PULGADA UNC - AC.INOX 304,,04,"1/4"""
TUERCA HEXAGONAL PULGADA UNC - AC.INOX 304,,05,"5/16"""
TUERCA HEXAGONAL PULGADA UNC - AC.INOX 304,,06,"3/8"""
TUERCA HEXAGONAL PULGADA UNC - AC.INOX 304,,07,"7/16"""
TUERCA HEXAGONAL PULGADA UNC - AC.INOX 304,,08,"1/2"""
TUERCA HEXAGONAL PULGADA UNC - AC.INOX 304,,10,"5/8"""
TUERCA HEXAGONAL PULGADA UNC - AC.INOX 304,,12,"3/4"""
TUERCA HEXAGONAL PULGADA UNC - AC.INOX 304,,14,"7/8"""
TUERCA HEXAGONAL PULGADA UNC - AC.INOX 304,,16,"1"""
