ARANDELA PLANA STANDARD,04,"1/4""",159,6.50,22.00,2.50
ARANDELA PLANA STANDARD,05,"5/16""",146,8.40,23.80,2.50
ARANDELA PLANA STANDARD,06,"3/8""",125,10.10,25.70,2.30
ARANDELA PLANA STANDARD,07,"7/16""",100,11.80,29.80,2.30
ARANDELA PLANA STANDARD,08,"1/2""",64,13.20,35.00,2.30
ARANDELA PLANA STANDARD,09,"9/16""",59,15.30,37.80,2.30
ARANDELA PLANA STANDARD,10,"5/8""",42,17.00,45.00,2.50
ARANDELA PLANA STANDARD,12,"3/4""",32,21.00,50.00,2.70
ARANDELA PLANA STANDARD,14,"7/8""",21,23.30,55.50,2.80
ARANDELA PLANA STANDARD,16,"1""",25,26.60,59.00,2.50
