STOVE BOLT CAB. PAN PULGADA - AC. INOX 304,,,,,,
,,I4E7200,I4E7202,I4E7203,I4E7204,I4E7205
CÓD.,LARGO,"Ø 1/8""","Ø 5/32""","Ø 3/16""","Ø 1/4""","Ø 5/16"""
08,"1/2""",,,,,
,,,,,,
10,"5/8""",$2.58,,,$14.34,
,,150 CTO,,,38 CTO,
12,"3/4""",$2.94,$4.35,,$15.28,
,,100 CTO,90 CTO,,30 CTO,
16,"1""",$3.67,,,,
,,80 CTO,,,,
24,"1 1/4""",,$6.37,$14.08,,
,,,50 CTO,35 CTO,,
26,"1 1/2""",,$6.84,$15.23,$24.87,
,,,40 CTO,30 CTO,20 CTO,
32,"2""",,$8.87,$19.19,$30.82,$55.41
,,,21 CTO,20 CTO,15 CTO,7.8 CTO
34,"2 1/2""",,,$20.12,$36.96,
,,,,CTO,9 CTO,
36,"3""",,,,,
,,,,,,
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,
