PERNO HEXAGONAL PULGADA UNC - GR. 2 PAVONADO,,,,,,
,,E2210,E2212,E2214,E2216,E2292
CÓD.,LARGO,"Ø 5/8""","Ø 3/4""","Ø 7/8""","Ø 1""","Ø 3/4"" RC"
05,"1 1/4""",$43.26,,,,
,,3.3 CTO,,,,
06,"1 1/2""",$44.49,$68.05,,,
,,3 CTO,1.9 CTO,,,
08,"2""",$52.42,$77.36,$127.04,$188.84,
,,2.5 CTO,1.7 CTO,1.1 CTO,0.8 CTO,
10,"2 1/2""",$61.10,$89.60,$143.62,$200.64,
,,2.2 CTO,1.42 CTO,0.95 CTO,0.7 CTO,
12,"3""",$71.71,$103.82,$155.54,$219.15,
,,1.8 CTO,1.2 CTO,0.85 CTO,0.63 CTO,
14,"3 1/2""",$77.93,$118.60,$191.18,$259.52,$138.32
,,1.6 CTO,1.05 CTO,0.7 CTO,0.56 CTO,1.1 CTO
16,"4""",$92.94,$133.80,$206.84,$270.02,
,,1.4 CTO,0.9 CTO,0.66 CTO,0.5 CTO,
18,"4 1/2""",$108.50,$153.72,$239.30,$316.15,
,,1.2 CTO,0.8 CTO,0.62 CTO,0.45 CTO,
20,"5""",$110.14,$156.23,$248.17,$324.43,
,,1.2 CTO,0.8 CTO,0.55 CTO,0.4 CTO,
22,"5 1/2""",$125.84,$183.16,$275.12,$374.79,
,,1.09 CTO,0.75 CTO,0.5 CTO,0.38 CTO,
24,"6""",$129.43,$185.09,$285.82,$387.78,
,,0.8 CTO,0.65 CTO,0.5 CTO,0.33 CTO,
28,"7""",$156.56,$212.64,$332.75,$427.24,
,,0.85 CTO,0.6 CTO,0.4 CTO,0.3 CTO,
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,
