PERNO HEXAGONAL MÉTRICO RC - CL. 8.8 PAVONADO,,,,,,
,,M2416,M2418,M2420,M2422,M2424
CÓD.,LARGO,Ø M16,Ø M18,Ø M20,Ø M22,Ø M24
06,30,$43.14,,,,
,,3.2 CTO,,,,
07,35,$48.11,,,,
,,3 CTO,,,,
08,40,$48.64,,$87.44,,
,,2.8 CTO,,1.3 CTO,,
09,45,$54.36,,,,
,,2 CTO,,,,
10,50,$56.78,$71.66,$98.70,,$170.51
,,2.5 CTO,1.8 CTO,1.4 CTO,,0.9 CTO
12,60,$64.40,$81.40,$109.26,$151.22,$182.76
,,2.3 CTO,1.6 CTO,1.2 CTO,1 CTO,0.82 CTO
14,70,$71.91,$94.34,$118.97,$169.91,$203.44
,,2 CTO,1.45 CTO,1.05 CTO,0.89 CTO,0.75 CTO
16,80,$80.17,$105.16,$131.62,$179.87,$208.29
,,1.5 CTO,1.25 CTO,1 CTO,0.8 CTO,0.6 CTO
18,90,$88.59,$116.30,$146.15,$196.01,$244.00
,,1.5 CTO,0.9 CTO,1 CTO,0.75 CTO,0.45 CTO
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,
