PERNO HEXAGONAL MÉTRICO RC - CL. 10.9 PAVONADO,,,,,,,
,,M2606,M2608,M2610,M2612,M2614,M2616
CÓD.,LARGO,Ø M6,Ø M8,Ø M10,Ø M12,Ø M14,Ø M16
22,110,,$27.13,$46.11,$63.24,$91.32,$116.73
,,,4 CTO,3 CTO,2.3 CTO,1.5 CTO,1 CTO
24,120,,$31.82,$49.74,$67.68,$103.36,$127.35
,,,4 CTO,2.8 CTO,2.1 CTO,1.5 CTO,1 CTO
26,130,,$33.08,$53.24,$75.98,$111.37,$135.07
,,,4 CTO,2 CTO,2 CTO,1.5 CTO,0.9 CTO
28,140,,$36.07,$55.84,$81.40,$119.31,$146.79
,,,3 CTO,1.8 CTO,1.5 CTO,1.4 CTO,1 CTO
30,150,,$38.49,$60.55,$82.38,$120.81,$149.02
,,,4.3 CTO,1.6 CTO,1.86 CTO,1 CTO,1 CTO
32,160,,,,$88.36,,$161.64
,,,,,1.6 CTO,,0.9 CTO
36,180,,,$72.23,$102.49,$150.14,$180.52
,,,,2.2 CTO,1.5 CTO,0.8 CTO,0.8 CTO
40,200,,,$83.70,$113.56,$167.54,$197.31
,,,,2 CTO,1.2 CTO,1 CTO,0.75 CTO
44,220,,,,,,
,,,,,,,
50,250,,,,,,
,,,,,,,
56,280,,,,,,
,,,,,,,
60,300,,,,,,
,,,,,,,
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,,
