PERNO SOCKET MÉTRICO CAB. CILÍNDRICA RC - CL. 12.9,,,,,,
,,M3604,M3605,M3606,M3607,M3608
CÓD.,LARGO,Ø M4,Ø M5,Ø M6,Ø M7,Ø M8
02,12,$3.27,$4.44,$5.61,,$12.02
,,100 CTO,55 CTO,40 CTO,,18 CTO
03,16,$3.99,$4.76,$6.11,,$14.63
,,100 CTO,50 CTO,32 CTO,,15 CTO
04,20,$4.35,$5.68,$7.19,$9.04,$16.45
,,80 CTO,40 CTO,30 CTO,CTO,15 CTO
05,25,$5.07,$6.51,$8.24,,$18.40
,,70 CTO,30 CTO,25 CTO,,13 CTO
06,30,$5.98,$7.13,$8.78,,$20.46
,,60 CTO,30 CTO,17 CTO,,10 CTO
07,35,$6.70,$8.59,$10.62,,$22.54
,,40 CTO,23 CTO,20 CTO,,10 CTO
08,40,,$9.83,$11.22,,$25.25
,,,20 CTO,12 CTO,,8 CTO
09,45,,$11.35,$13.06,,$24.14
,,,15 CTO,12 CTO,,10 CTO
10,50,,$12.87,$13.66,,$26.38
,,,12 CTO,10 CTO,,6 CTO
12,60,,$15.92,$16.11,,$30.54
,,,8 CTO,9 CTO,,5.5 CTO
14,70,,$18.55,$18.22,,$34.69
,,,6.5 CTO,7 CTO,,6 CTO
16,80,,,$21.70,,$39.07
,,,,10 CTO,,5 CTO
18,90,,$21.18,,,$43.22
,,,4 CTO,,,5 CTO
20,100,,,,,$50.10
,,,,,,2.5 CTO
22,110,,,,,
,,,,,,
24,120,,,,,
,,,,,,
26,130,,,,,
,,,,,,
28,140,,,,,
,,,,,,
30,150,,,,,
,,,,,,
32,160,,,,,
,,,,,,
36,180,,,,,
,,,,,,
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,
