PERNO DE EXPANSIÓN,,,,,,,
,,D0104,D0106,D0108,D0110,D0112,D0116
CÓD.,LARGO,"Ø 1/4""","Ø 3/8""","Ø 1/2""","Ø 5/8""","Ø 3/4""","Ø 1"""
07,"1 3/4""",$13.52,,,,,
,,10 CTO,,,,,
09,"2 1/4""",$15.87,$27.15,,,,
,,10 CTO,5 CTO,,,,
11,"2 3/4""",,$29.37,$55.99,,,
,,,5 CTO,2.5 CTO,,,
12,"3""",$17.64,$31.21,$55.41,,,
,,10 CTO,5 CTO,2.5 CTO,,,
13,"3 1/4""",$18.79,$32.97,$59.68,,,
,,10 CTO,4.5 CTO,2.5 CTO,,,
14,"3 1/2""",,$34.60,$62.09,$98.05,,
,,,4 CTO,2 CTO,1.2 CTO,,
15,"3 3/4""",,$37.06,$67.12,$105.22,,
,,,4 CTO,2 CTO,1.2 CTO,,
16,"4""",,$39.41,$67.92,$107.65,$182.31,
,,,4 CTO,2 CTO,1.2 CTO,0.8 CTO,
17,"4 1/4""",,,$76.92,$115.16,$184.84,
,,,,2 CTO,1 CTO,0.6 CTO,
18,"4 1/2""",,$44.92,$76.53,$121.80,,
,,,3.5 CTO,2 CTO,1 CTO,,
19,"4 3/4""",,,,,$200.48,
,,,,,,0.6 CTO,
20,"5""",,$49.30,$82.42,$125.16,,
,,,3 CTO,1.5 CTO,1.1 CTO,,
22,"5 1/2""",,,$87.17,,$214.26,
,,,,1.5 CTO,,0.6 CTO,
24,"6""",,$54.45,$93.11,$147.31,$245.45,$637.34
,,,2.5 CTO,1.5 CTO,1 CTO,0.6 CTO,0.4 CTO
25,"6 1/4""",,,,,$250.71,
,,,,,,0.5 CTO,
28,"7""",,,$107.23,$165.44,$253.81,
,,,,1.2 CTO,0.8 CTO,0.5 CTO,
32,"8""",,,$127.53,$193.78,,$590.71
,,,,1 CTO,0.6 CTO,,0.25 CTO
34,"8 1/2""",,,,$211.59,$295.92,
,,,,,0.6 CTO,0.4 CTO,
36,"9""",,,,,,$648.06
,,,,,,,0.25 CTO
40,"10""",,,,$247.09,$353.79,
,,,,,0.6 CTO,0.4 CTO,
48,"12""",,,,,$430.29,$819.36
,,,,,,0.25 CTO,0.2 CTO
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,,
