PERNO ESTRUCTURAL GALVANIZADO HDG - ASTM A325,,,,,,
,,E2108,E2110,E2112,E2114,E2116
CÓD.,LARGO,"Ø 1/2""","Ø 5/8""","Ø 3/4""","Ø 7/8""","Ø 1"""
06,"1 1/2""",$32.44,$54.13,,,
,,0 CTO,2 CTO,,,
07,"1 3/4""",$36.14,,$90.72,,
,,4 CTO,,1.5 CTO,,
08,"2""",,$64.46,,,
,,,2.25 CTO,,,
09,"2 1/4""",,$69.54,$107.23,$145.20,
,,,2 CTO,1.35 CTO,0.5 CTO,
10,"2 1/2""",,$75.31,$115.68,$162.43,$213.24
,,,1.5 CTO,1 CTO,0.5 CTO,0.65 CTO
11,"2 3/4""",,,$123.66,$174.07,$233.79
,,,,1 CTO,0.5 CTO,0.6 CTO
12,"3""",,,$130.51,,$249.77
,,,,1.1 CTO,,0.58 CTO
16,"4""",,,$164.26,,$304.02
,,,,0.5 CTO,,0.4 CTO
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,
