PERNO SOCKET MÉTRICO RC - AC. INOX 304,,,,,,,,,,
,,I4M3603,I4M3604,I4M3605,I4M3606,I4M3608,I4M3610,I4M3612,I4M3614,I4M3616
CÓD.,LARGO,Ø M3,Ø M4,Ø M5,Ø M6,Ø M8,Ø M10,Ø M12,Ø M14,Ø M16
00,8,,$3.63,,,,,,,
,,,150 CTO,,,,,,,
01,10,$2.25,$4.41,$6.25,$8.38,,,,,
,,250 CTO,130 CTO,80 CTO,50 CTO,,,,,
02,12,$2.57,$4.90,$7.27,$8.76,$19.82,,,,
,,250 CTO,100 CTO,60 CTO,50 CTO,24 CTO,,,,
03,16,$3.22,$5.71,$8.26,$9.58,$20.69,,,,
,,200 CTO,100 CTO,60 CTO,40 CTO,20 CTO,,,,
04,20,$3.86,$6.53,$9.51,$10.82,$21.05,$37.24,,,
,,180 CTO,100 CTO,55 CTO,40 CTO,20 CTO,10 CTO,,,
05,25,$4.51,$6.99,$11.45,$12.41,$22.84,$41.17,$61.04,,
,,150 CTO,90 CTO,45 CTO,30 CTO,17 CTO,10 CTO,7 CTO,,
06,30,$5.61,$8.22,$12.18,$14.71,$25.24,$45.28,$66.61,,$180.53
,,130 CTO,75 CTO,40 CTO,30 CTO,15 CTO,8 CTO,6 CTO,,2.5 CTO
07,35,$5.65,$9.48,$14.37,$17.00,$27.80,$49.71,$73.04,$141.01,$194.07
,,100 CTO,60 CTO,30 CTO,25 CTO,14 CTO,8 CTO,5.5 CTO,3.5 CTO,2.5 CTO
08,40,$6.20,$11.42,$15.59,$20.64,$31.32,$54.15,$79.13,$150.39,$199.01
,,100 CTO,50 CTO,30 CTO,20 CTO,12 CTO,7.5 CTO,5 CTO,3 CTO,2.5 CTO
09,45,,,$16.41,$22.31,$40.79,$63.86,$90.21,,$209.66
,,,,25 CTO,20 CTO,10 CTO,6.5 CTO,4.5 CTO,,2 CTO
10,50,,,$17.90,$22.87,$44.60,$65.43,$92.69,$172.83,$226.34
,,,,22 CTO,20 CTO,10 CTO,6 CTO,4.5 CTO,2.8 CTO,2 CTO
12,60,,,,$29.75,$48.23,$70.89,$104.17,$205.11,$255.75
,,,,,15 CTO,9 CTO,5.5 CTO,3.5 CTO,2.5 CTO,2 CTO
14,70,,,,$35.48,$59.47,$90.77,$131.65,$211.52,$285.88
,,,,,12 CTO,7.5 CTO,4.5 CTO,3 CTO,2.5 CTO,1.5 CTO
16,80,,,,$39.94,$59.78,$115.16,$135.35,$261.64,$345.70
,,,,,12 CTO,6 CTO,4 CTO,2.5 CTO,2 CTO,1.5 CTO
18,90,,,,$44.19,$61.81,$119.26,$147.54,,$380.01
,,,,,10 CTO,5 CTO,3.5 CTO,2.5 CTO,,1.5 CTO
20,100,,,,,$81.66,$122.68,$163.87,$299.44,$386.78
,,,,,,5 CTO,3.5 CTO,2 CTO,1.5 CTO,1.3 CTO
24,120,,,,,$114.72,$145.10,$193.99,,
,,,,,,CTO,3 CTO,1.7 CTO,,
30,150,,,,,,,$216.68,,
,,,,,,,,1.5 CTO,,
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,,,,,
