"TORNILLO STOVE BOLT CAB. FLAT PULGADA - AC.
INOX 304",,,,,
,,I4E5000,I4E5002,I4E5003,I4E5004
CÓD.,LARGO,"Ø 1/8""","Ø 5/32""","Ø 3/16""","Ø 1/4"""
08,"1/2""",,,,$12.15
,,,,,CTO
10,"5/8""",,$4.27,,
,,,130 CTO,,
12,"3/4""",$2.63,$5.04,$5.32,$13.90
,,CTO,100 CTO,80 CTO,CTO
16,"1""",,$6.42,$6.50,
,,,65 CTO,60 CTO,
24,"1 1/4""",,,$8.00,$18.97
,,,,45 CTO,25 CTO
26,"1 1/2""",,,$9.31,$27.62
,,,,CTO,CTO
32,"2""",,,$11.88,$28.84
,,,,30 CTO,CTO
34,"2 1/2""",,,$21.94,$30.39
,,,,25 CTO,15 CTO
36,"3""",,,$18.33,
,,,,30 CTO,
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,
