PERNO HEXAGONAL PULGADA UNC - GR. 2 PAVONADO,,,,,,
,,E2210,E2212,E2214,E2216,E2292
CÓD.,LARGO,"Ø 5/8""","Ø 3/4""","Ø 7/8""","Ø 1""","Ø 3/4"" RC"
32,"8""",$180.20,$254.04,$373.89,$483.39,
,,0.8 CTO,0.5 CTO,0.37 CTO,0.28 CTO,
36,"9""",$193.59,$284.83,,$534.47,
,,0.7 CTO,0.45 CTO,,0.25 CTO,
40,"10""",$211.70,$312.89,$478.60,$619.77,
,,0.6 CTO,0.4 CTO,0.25 CTO,0.2 CTO,
44,"11""",$232.60,$358.27,,,
,,0.5 CTO,0.38 CTO,,,
48,"12""",$254.04,$373.81,,,
,,0.5 CTO,0.3 CTO,,,
52,"13""",$301.51,,,,
,,0.4 CTO,,,,
56,"14""",$309.17,,,,
,,0.44 CTO,,,,
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,
