PERNO HEXAGONAL PULGADA UNC - GR. 8 PAVONADO,,,,,,,
,,E2612,E2614,E2616,E2620,E2622,E2626
CÓD.,LARGO,"Ø 3/4""","Ø 7/8""","Ø 1""","Ø 1 1/8""","Ø 1 1/4""","Ø 1 1/2"""
18,"4 1/2""",$171.10,,$314.07,,$570.24,
,,0.85 CTO,,0.45 CTO,,0.28 CTO,
20,"5""",$188.67,$261.72,$339.49,$447.98,$577.09,$902.48
,,0.7 CTO,0.55 CTO,0.4 CTO,0.3 CTO,0.25 CTO,0.15 CTO
22,"5 1/2""",$203.33,,,,,
,,0.6 CTO,,,,,
24,"6""",$220.37,$305.41,$399.60,$516.18,$657.52,$995.19
,,0.6 CTO,0.45 CTO,0.35 CTO,0.25 CTO,0.2 CTO,0.14 CTO
28,"7""",$250.55,$347.45,$452.94,$588.21,$751.45,"$1,287.55"
,,0.6 CTO,0.4 CTO,0.3 CTO,0.22 CTO,0.2 CTO,0.12 CTO
32,"8""",$281.42,$386.54,$508.47,$659.30,$832.62,"$1,297.67"
,,0.5 CTO,0.35 CTO,0.26 CTO,0.21 CTO,0.2 CTO,0.12 CTO
36,"9""",$316.97,$449.06,$564.69,$732.36,$928.87,
,,0.48 CTO,0.33 CTO,0.25 CTO,0.19 CTO,0.15 CTO,
40,"10""",$348.15,$481.05,$644.70,$804.26,"$1,014.68","$1,555.26"
,,0.42 CTO,0.3 CTO,0.25 CTO,0.15 CTO,0.1 CTO,0.1 CTO
44,"11""",$408.59,$575.37,$706.34,$880.33,,
,,0.4 CTO,0.28 CTO,0.2 CTO,0.15 CTO,,
48,"12""",$428.97,$591.04,$766.19,$952.30,,
,,0.35 CTO,0.25 CTO,0.2 CTO,0.15 CTO,,
52,"13""",$465.76,$673.02,$863.57,,,
,,0.25 CTO,0.1 CTO,0.16 CTO,,,
56,"14""",,,$928.53,,,
,,,,0.17 CTO,,,
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,,
