PERNO HEXAGONAL MÉTRICO RC - CL. 10.9 PAVONADO,,,,,,,,
,,M2618,M2620,M2622,M2624,M2627,M2630,M2658
CÓD.,LARGO,Ø M18,Ø M20,Ø M22,Ø M24,Ø M27,Ø M30,Ø M8 RC
22,110,,$192.03,$252.08,$296.76,,,
,,,0.8 CTO,0.6 CTO,0.5 CTO,,,
24,120,$170.60,$207.13,$261.67,$301.50,,$558.00,
,,0.9 CTO,0.7 CTO,0.6 CTO,0.48 CTO,,0.3 CTO,
26,130,$176.16,$220.47,$283.60,$320.25,,,
,,0.85 CTO,0.7 CTO,0.52 CTO,0.45 CTO,,,
28,140,,$231.82,$313.66,$355.51,,,
,,,0.65 CTO,0.4 CTO,0.4 CTO,,,
30,150,$198.84,$249.09,$330.34,$365.39,,$628.59,
,,0.75 CTO,0.6 CTO,0.5 CTO,0.4 CTO,,0.25 CTO,
32,160,,$261.33,,$376.81,,$681.66,
,,,0.6 CTO,,0.4 CTO,,0.25 CTO,
36,180,$240.72,$293.76,$365.27,$420.15,,$756.27,
,,0.63 CTO,0.55 CTO,0.4 CTO,0.35 CTO,,0.22 CTO,
40,200,$278.28,$318.62,$436.74,$463.48,,$783.74,
,,0.5 CTO,0.46 CTO,0.2 CTO,0.3 CTO,,0.2 CTO,
44,220,,$349.48,,,,$891.34,
,,,0.42 CTO,,,,0.15 CTO,
50,250,,$384.43,,$566.08,,$952.52,
,,,0.38 CTO,,0.2 CTO,,0.12 CTO,
56,280,,$446.18,,,,"$1,105.05",
,,,0.3 CTO,,,,0.13 CTO,
60,300,,,,,,"$1,173.33",
,,,,,,,0.13 CTO,
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,,,
