PERNO-T P./ARO TRILEX CLASE 10.9 - SOLO,,,,,
CÓDIGO,ROSCA,"L
(mm.)","EMP.
(uds.)",CAJA,P. V.
A270910,M18 x 2.00,75,5,80 PZA,$2.34
A270912,M18 x 2.00,90,5,60 PZA,$2.44
A270913,M18 x 2.00,100,5,,
A270914,M18 x 2.00,110,5,50 PZA,$2.75
A270916,M18 x 2.00,125,5,60 PZA,$3.40
A290009,M20 x 2.00,70,5,100 PZA,$2.45
A290011,M20 x 2.00,80,5,100 PZA,$2.66
A290012,M20 x 2.00,90,5,100 PZA,$2.71
A290013,M20 x 2.00,100,5,60 PZA,$2.77
A290014,M20 x 2.00,110,5,60 PZA,$2.83
A290016,M20 x 2.00,125,5,60 PZA,$3.73
A290018,M20 x 2.00,150,5,55 PZA,$3.75
PRECIO DE VENTA POR UNIDAD (INC. IGV),,,,,
