ESPÁRRAGO BOCAMAZA UNC-UNF GR.5,,,,
CÓDIGO,DESCRIPCIÓN,"EMP.
(uds.)","CAJA
(uds.)",P. V.
A20100806,"1/2” X 1 1/2""",25,0,$0.60
A20100808,1/2” X 2”,25,0,$0.61
A20100810,"1/2” X 2 1/2""",25,0,$0.68
A20100812,1/2” X 3”,25,0,$0.81
A20100814,1/2” X 3 1/2”,25,0,$0.98
A20100908,9/16” X 2”,25,0,$0.76
A20100910,9/16” X 2 1/2”,25,0,$0.96
A20100912,9/16” X 3”,25,0,$1.10
A20100914,9/16” X 3 1/2”,25,0,$1.32
A20101010,5/8” X 2 1/2”,25,0,$1.14
A20101012,5/8” X 3”,25,0,$1.17
A20101014,5/8” X 3 1/2”,25,0,$1.23
A20101212,3/4” X 3”,25,0,$1.62
A20101214,3/4” X 3 1/2”,25,0,$1.89
A20101216,3/4” X 3”,25,0,$2.16
,,,,
PRECIO DE VENTA POR UNIDAD (INC. IGV),,,,
