ESPÁRRAGO MÉTRICO RC - RF CL 8.8,,,,
CÓDIGO,DESCRIPCIÓN,"EMP.
(uds.)","CAJA
(uds.)",P. V.
A181010070,M10 X 70,25,0,$0.77
A181010080,M10 X 80,25,0,$0.84
A181012030,M12 X 30,25,,$0.52
A181012040,M12 X 40,25,0,$0.58
A181012050,M12 X 50,25,0,$0.70
A181012060,M12 X 60,25,0,$0.73
A181012070,M12 X 70,25,0,$0.83
A181012080,M12 X 80,25,0,$0.96
A181014050,M14 X 50,25,,$0.78
A181014060,M14 X 60,25,,$0.94
A181014070,M14 X 70,25,,$1.09
A181014080,M14 X 80,25,,$1.35
A181014090,M14 X 90,25,,$1.79
A181016060,M16 X 60,25,,$0.99
A181016070,M16 X 70,25,,$1.05
A181016075,M16 X 75,25,,$1.14
A181016080,M16 X 80,25,,$1.18
A181016090,M16 X 90,25,0,$1.23
A181016100,M16 X 100,25,,$1.62
A181018075,M18 X 75,25,,$2.32
A181018090,M18 X 90,25,,$2.78
,,,,
PRECIO DE VENTA POR UNIDAD (INC. IGV),,,,
