ESPÁRRAGO MÉTRICO RC - RC CL 8.8,,,,
CÓDIGO,DESCRIPCIÓN,"EMP.
(uds.)","CAJA
(uds.)",P. V.
A180010060,M10 X 60,25,0,$0.84
A180010065,M10 X 65,25,,$0.91
A180010070,M10 X 70,25,,$0.98
A180010075,M10 X 75,25,,$1.05
A180010080,M10 X 80,25,,$1.12
A180012040,M12 X 40,25,,$0.73
A180012050,M12 X 50,25,0,$0.77
A180012060,M12 X 60,25,0,$0.79
A180012070,M12 X 70,25,,$0.85
A180012075,M12 X 75,25,,$0.93
A180012080,M12 X 80,25,,$0.96
A181014050,M14 X 50,25,,$0.78
A181014060,M14 X 60,25,,$0.94
A181014070,M14 X 70,25,,$1.09
A181014080,M14 X 80,25,,$1.35
A181014090,M14 X 90,25,,$1.79
A181016060,M16 X 60,25,,$0.99
A181016070,M16 X 70,25,,$1.05
A181016080,M16 X 80,25,,$1.18
A181016090,M16 X 90,25,0,$1.23
A181016100,M16 X 100,25,,$1.62
A181020080,M20 X 80,25,0,$2.07
A181020090,M20 X 90,25,,
A181020100,M20 X 100,25,0,$2.54
,,25,,
PRECIO DE VENTA POR UNIDAD (INC. IGV),,,,
